name,Long Haul (reduced start and finish)
pr,208
date,elapsed_time
2013-01-21 09:21:20 +0000 UTC,324
2013-01-22 09:29:45 +0000 UTC,358
2013-01-23 08:42:48 +0000 UTC,349
2013-01-24 09:06:05 +0000 UTC,347
2013-01-25 09:12:50 +0000 UTC,370
2013-01-28 09:09:06 +0000 UTC,319
2013-01-29 09:02:26 +0000 UTC,287
2013-02-22 08:43:47 +0000 UTC,324
2013-02-25 09:19:46 +0000 UTC,324
2013-02-26 08:54:29 +0000 UTC,339
2013-02-28 08:53:53 +0000 UTC,331
2013-03-01 09:06:03 +0000 UTC,310
2013-03-05 09:03:33 +0000 UTC,345
2013-03-06 09:24:28 +0000 UTC,353
2013-03-07 09:10:31 +0000 UTC,313
2013-03-08 08:59:50 +0000 UTC,344
2013-03-11 08:49:31 +0000 UTC,366
2013-03-12 08:49:54 +0000 UTC,340
2013-03-13 09:29:56 +0000 UTC,313
2013-03-15 08:59:29 +0000 UTC,340
2013-03-18 09:31:41 +0000 UTC,302
2013-03-20 08:49:07 +0000 UTC,329
2013-03-21 09:14:06 +0000 UTC,356
2013-03-22 09:39:56 +0000 UTC,387
2013-03-26 09:53:04 +0000 UTC,355
2013-03-27 08:25:13 +0000 UTC,350
2013-03-28 09:01:54 +0000 UTC,302
2013-04-02 07:53:03 +0000 UTC,317
2013-04-03 08:01:18 +0000 UTC,331
2013-04-04 08:48:06 +0000 UTC,314
2013-04-05 08:46:54 +0000 UTC,290
2013-04-08 07:22:31 +0000 UTC,320
2013-04-10 08:25:40 +0000 UTC,327
2013-04-11 08:03:20 +0000 UTC,261
2013-04-12 07:59:42 +0000 UTC,273
2013-04-15 08:25:31 +0000 UTC,255
2013-04-17 07:20:07 +0000 UTC,297
2013-04-18 08:02:50 +0000 UTC,234
2013-04-19 08:14:19 +0000 UTC,335
2013-04-22 08:08:51 +0000 UTC,271
2013-04-23 08:22:04 +0000 UTC,270
2013-04-25 07:45:03 +0000 UTC,283
2013-04-26 07:36:28 +0000 UTC,297
2013-04-29 08:01:03 +0000 UTC,276
2013-04-30 07:56:30 +0000 UTC,328
2013-05-01 08:32:48 +0000 UTC,287
2013-05-07 08:18:53 +0000 UTC,292
2013-05-08 08:16:37 +0000 UTC,284
2013-05-09 08:19:35 +0000 UTC,323
2013-05-10 08:02:53 +0000 UTC,224
2013-05-13 08:00:18 +0000 UTC,223
2013-05-15 08:04:15 +0000 UTC,274
2013-05-16 08:08:49 +0000 UTC,290
2013-05-17 08:37:32 +0000 UTC,332
2013-05-20 08:07:50 +0000 UTC,331
2013-05-21 07:55:25 +0000 UTC,250
2013-05-22 08:16:40 +0000 UTC,270
2013-05-23 08:21:49 +0000 UTC,303
2013-05-24 08:17:59 +0000 UTC,270
2013-05-28 08:06:00 +0000 UTC,285
2013-05-29 07:57:30 +0000 UTC,288
2013-05-30 07:55:38 +0000 UTC,279
2013-05-31 08:22:55 +0000 UTC,235
2013-06-03 07:36:33 +0000 UTC,287
2013-06-05 08:34:18 +0000 UTC,338
2013-06-06 08:19:13 +0000 UTC,347
2013-06-07 08:33:00 +0000 UTC,303
2013-06-10 08:04:51 +0000 UTC,322
2013-06-11 08:34:58 +0000 UTC,308
2013-06-12 08:36:51 +0000 UTC,310
2013-06-13 08:31:12 +0000 UTC,286
2013-06-17 08:16:31 +0000 UTC,243
2013-06-18 08:25:09 +0000 UTC,228
2013-06-20 08:30:09 +0000 UTC,292
2013-06-24 08:11:55 +0000 UTC,261
2013-06-25 08:15:54 +0000 UTC,275
2013-06-26 08:22:52 +0000 UTC,265
2013-07-09 08:08:51 +0000 UTC,289
2013-07-10 08:18:16 +0000 UTC,268
2013-07-11 08:17:24 +0000 UTC,258
2013-07-15 07:43:53 +0000 UTC,291
2013-07-16 07:52:17 +0000 UTC,278
2013-07-17 07:37:05 +0000 UTC,299
2013-07-18 08:09:38 +0000 UTC,303
2013-07-19 08:39:50 +0000 UTC,304
2013-07-22 08:20:37 +0000 UTC,235
2013-07-23 08:04:49 +0000 UTC,225
2013-07-24 08:08:21 +0000 UTC,262
2013-07-25 08:06:50 +0000 UTC,293
2013-07-26 07:36:05 +0000 UTC,222
2013-07-30 07:47:51 +0000 UTC,279
2013-07-31 08:20:27 +0000 UTC,282
2013-08-01 08:02:13 +0000 UTC,329
2013-08-02 08:31:26 +0000 UTC,300
2013-08-05 08:07:17 +0000 UTC,255
2013-08-07 08:26:29 +0000 UTC,285
2013-08-08 08:17:49 +0000 UTC,270
2013-08-09 07:59:17 +0000 UTC,233
2013-08-12 08:00:40 +0000 UTC,246
2013-08-13 08:11:26 +0000 UTC,208
2013-08-14 07:53:28 +0000 UTC,260
2013-08-15 07:49:28 +0000 UTC,292
2013-08-16 08:21:39 +0000 UTC,235
2013-08-20 08:17:22 +0000 UTC,276
2013-08-21 08:45:07 +0000 UTC,269
2013-08-22 08:08:50 +0000 UTC,298
2013-08-23 08:38:48 +0000 UTC,314
2013-08-27 08:23:01 +0000 UTC,282
2013-08-28 08:19:30 +0000 UTC,260
2013-08-30 08:35:30 +0000 UTC,239
2013-09-09 08:28:44 +0000 UTC,269
2013-09-10 08:23:38 +0000 UTC,262
2013-09-11 08:13:59 +0000 UTC,252
2013-09-17 08:09:55 +0000 UTC,264
2013-09-18 08:46:42 +0000 UTC,295
2013-09-20 08:23:42 +0000 UTC,251
2013-09-28 08:24:38 +0000 UTC,287
2013-10-01 08:35:26 +0000 UTC,302
2013-10-03 08:39:52 +0000 UTC,322
2013-10-04 08:39:41 +0000 UTC,279
2013-10-06 08:55:14 +0000 UTC,306
2013-10-07 08:34:48 +0000 UTC,283
2013-10-09 08:33:50 +0000 UTC,255
